XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
281804.27290739,2332421.97055996,234,224,117,123.637074745515
281804.27290739,2332421.97055996,234,37,118,395.960406857632
281804.27290739,2332421.97055996,234,284,142,277.417115815929
281804.27290739,2332421.97055996,234,414,208,241.170939221282
279740.43927221,2332412.81824760,237,238,119,39.3660146592099
279778.46297320,2332423.01046389,238,237,119,39.3660146592099
279778.46297320,2332423.01046389,238,213,120,28.7886298352116
279778.46297320,2332423.01046389,238,249,125,13.936550204614
279655.46846293,2332396.76141794,241,242,121,31.8222558907907
279672.31377539,2332423.75940709,242,241,121,31.8222558907907
279672.31377539,2332423.75940709,242,297,149,73.9523238520956
279672.31377539,2332423.75940709,242,304,152,113.890200960871
277567.51267236,2332426.11071683,244,168,122,87.538809180993
277567.51267236,2332426.11071683,244,246,123,25.6133055079971
277567.51267236,2332426.11071683,244,417,210,240.077054960167
277592.69919117,2332430.76696957,246,244,123,25.6133055079971
277592.69919117,2332430.76696957,246,170,124,87.2322051560024
277592.69919117,2332430.76696957,246,252,126,32.8629578209314
279774.73340336,2332436.43870802,249,238,125,13.936550204614
279774.73340336,2332436.43870802,249,259,130,30.9249130065581
279774.73340336,2332436.43870802,249,274,138,13.1070918309686
277625.05215168,2332436.53411292,252,246,126,32.8629578209314
277625.05215168,2332436.53411292,252,174,127,86.6057036406367
277625.05215168,2332436.53411292,252,256,128,33.6664847788111
277625.05215168,2332436.53411292,252,331,166,70.7975704456834
277658.17757187,2332442.54566303,256,252,128,33.6664847788111
277658.17757187,2332442.54566303,256,178,129,86.0667929782251
277658.17757187,2332442.54566303,256,270,135,32.8373780413466
277658.17757187,2332442.54566303,256,333,167,65.3609886345722
279804.48064237,2332444.89163746,259,249,130,30.9249130065581
279804.48064237,2332444.89163746,259,219,131,42.6546761236495
279804.48064237,2332444.89163746,259,279,140,27.9730057767206
279804.48064237,2332444.89163746,259,312,157,47.4585730373592
280208.40842286,2332447.89256955,263,165,132,419.664931386563
280208.40842286,2332447.89256955,263,158,133,135.533703998658
280208.40842286,2332447.89256955,263,288,144,8.71674315366581
279412.71421889,2332448.20617222,268,216,134,88.2721561948661
279412.71421889,2332448.20617222,268,318,159,66.2713741520436
279412.71421889,2332448.20617222,268,329,168,111.650639387279
277690.40265930,2332448.85732977,270,256,135,32.8373780413466
277690.40265930,2332448.85732977,270,190,136,85.9981966685747
277690.40265930,2332448.85732977,270,196,146,116.878278594248
277690.40265930,2332448.85732977,270,302,151,34.3516646548532
279732.97377759,2332438.41229505,273,274,137,39.704300971141
279771.22186519,2332449.06665148,274,273,137,39.704300971141
279771.22186519,2332449.06665148,274,249,138,13.1070918309686
279771.22186519,2332449.06665148,274,304,153,35.1014634681623
279260.59853756,2332431.68460759,277,278,139,54.616852890004
279311.59515232,2332451.23827484,278,277,139,54.616852890004
279311.59515232,2332451.23827484,278,296,148,33.6325757108221
279311.59515232,2332451.23827484,278,327,164,52.4812329031439
279831.31024149,2332452.80754950,279,259,140,27.9730057767206
279831.31024149,2332452.80754950,279,225,141,43.5504762822601
